key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.048637361,0.0007561,72.5072092,72.5072092,72.807395,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.01,db,0.048581398,0.0008456,74.8407808,74.8407808,75.1406044,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.01,db,0.048525498,0.0007669,77.190613,77.190613,77.4907869,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.01,db,0.048469663,0.0007947,79.5074296,79.5074296,79.8073971,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,down,0.01,db,0.048413893,0.0007959,81.8405994,81.8405994,82.1405243,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,down,0.01,db,0.048358186,0.0009004,84.2910781,84.2910781,84.5905092,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,down,0.01,db,0.048302544,0.0007995,86.6073925,86.6073925,86.9074132,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,down,0.01,db,0.048246966,0.0008522,89.0076145,89.0076145,89.3073298,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,down,0.01,db,0.048191451,0.00082,91.3404944,91.3404944,91.6407478,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,down,0.01,db,0.048136001,0.0007844,93.7072434,93.7072434,94.0072072,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,down,0.01,db,0.048080614,0.0008142,96.0407894,96.0407894,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,down,0.01,db,0.048025291,0.0007541,98.3239749,98.3239749,98.6238774,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,down,0.01,db,0.047970032,0.0008027,100.6907986,100.6907986,100.990605,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.01,db,0.047914836,0.000916,103.0075388,103.0075388,103.3077072,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.01,db,0.047859704,0.0008094,105.3239142,105.3239142,105.6238772,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.01,db,0.047804635,0.0008331,107.6406623,107.6406623,107.9409468,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,0.01,db,0.047749629,0.0008176,110.0242695,110.0242695,110.3241562,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,down,0.01,db,0.047694687,0.000918,112.3238948,112.3238948,112.6240621,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,down,0.01,db,0.047639808,0.0009364,114.6241861,114.6241861,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.01,db,0.047584992,0.0008151,116.9074478,116.9074478,117.2072718,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.01,db,0.04753024,0.0008412,119.2241421,119.2241421,119.5245148,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.01,db,0.04747555,0.0008353,121.5572383,121.5572383,121.8572226,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.01,db,0.047420923,0.0009439,123.8741003,123.8741003,124.1743507,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.01,db,0.047366359,0.0008257,126.1738983,126.1738983,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.01,db,0.047311858,0.0008106,128.4572167,128.4572167,128.7572392,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.01,db,0.04725742,0.0008509,130.7740653,130.7740653,131.0740404,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,down,0.01,db,0.047203044,0.0007859,133.1406398,133.1406398,133.4407601,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,down,0.01,db,0.047148731,0.0008136,135.4907907,135.4907907,135.7908087,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,down,0.01,db,0.04709448,0.0008123,137.8909201,137.8909201,138.1906503,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.01,db,0.047040292,0.0008943,140.2408681,140.2408681,140.5406935,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.01,db,0.046986166,0.0007478,142.5408988,142.5408988,142.8406269,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.01,db,0.046932102,0.0009194,144.8907771,144.8907771,145.190669,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.01,db,0.0468781,0.0009299,147.1906728,147.1906728,147.4905571,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
